AP_max,AP_mean,AP_min,EBP_max,EBP_mean,EBP_min,ESR_max,ESR_mean,ESR_min,RPI_max,RPI_mean,RPI_min,TeamID,USA_max,USA_mean,USA_min
35.0,35.0,35.0,319,292.33,251,309,287.18,258,326,294.64,260,1154,35.0,35.0,35.0
25.0,18.18,11.0,41,22.61,15,16,11.0,7,40,12.93,4,1155,25.0,17.91,12.0
35.0,35.0,35.0,309,266.44,193,340,325.55,303,340,319.93,283,1156,35.0,35.0,35.0
35.0,35.0,35.0,213,192.17,157,276,247.55,225,272,241.29,186,1157,35.0,35.0,35.0
35.0,35.0,35.0,139,123.11,93,136,97.27,79,186,112.93,57,1158,35.0,35.0,35.0
35.0,35.0,35.0,214,193.56,179,226,196.64,160,240,203.57,174,1159,35.0,35.0,35.0
35.0,35.0,35.0,156,139.17,122,137,98.82,75,108,75.36,53,1160,35.0,35.0,35.0
35.0,35.0,35.0,252,215.83,132,221,194.64,146,234,174.21,118,1161,35.0,35.0,35.0
35.0,35.0,35.0,204,190.0,155,320,291.27,275,316,299.29,280,1162,35.0,35.0,35.0
35.0,35.0,35.0,176,162.61,125,120,98.0,74,123,102.71,77,1163,35.0,35.0,35.0
35.0,35.0,35.0,346,343.67,337,350,341.91,329,343,330.5,301,1164,35.0,35.0,35.0
35.0,35.0,35.0,296,275.33,254,231,221.18,214,248,208.0,125,1165,35.0,35.0,35.0
25.0,25.0,25.0,51,24.94,14,36,26.36,19,57,37.43,22,1166,25.0,23.75,22.0
35.0,35.0,35.0,267,235.94,200,249,225.18,185,231,178.43,71,1167,35.0,35.0,35.0
35.0,35.0,35.0,295,226.0,182,161,142.27,103,184,135.0,110,1168,35.0,35.0,35.0
35.0,35.0,35.0,337,328.44,307,349,338.36,326,351,346.36,340,1169,35.0,35.0,35.0
35.0,35.0,35.0,323,307.94,287,335,315.82,284,312,288.79,263,1170,35.0,35.0,35.0
35.0,35.0,35.0,276,262.17,246,310,294.91,279,346,338.57,332,1171,35.0,35.0,35.0
35.0,35.0,35.0,76,46.33,29,194,132.55,77,189,129.43,47,1172,35.0,35.0,35.0
35.0,35.0,35.0,165,151.39,130,184,167.55,156,147,102.21,67,1173,35.0,35.0,35.0
35.0,35.0,35.0,288,275.78,258,262,239.73,203,270,244.0,228,1174,35.0,35.0,35.0
35.0,35.0,35.0,350,346.28,334,350,341.0,321,351,349.43,344,1175,35.0,35.0,35.0
35.0,35.0,35.0,262,226.0,172,296,245.0,201,315,263.43,221,1176,35.0,35.0,35.0
35.0,35.0,35.0,135,110.72,89,162,143.82,129,244,188.93,163,1177,35.0,35.0,35.0
35.0,35.0,35.0,311,277.5,206,336,314.18,299,318,282.07,246,1178,35.0,35.0,35.0
35.0,35.0,35.0,187,170.94,153,170,156.09,140,227,164.71,128,1179,35.0,35.0,35.0
35.0,35.0,35.0,267,248.56,223,284,260.18,238,267,236.79,199,1180,35.0,35.0,35.0
35.0,35.0,35.0,221,170.94,141,218,198.09,168,311,243.29,210,1182,35.0,35.0,35.0
35.0,35.0,35.0,243,213.94,173,281,271.64,246,305,273.07,236,1183,35.0,35.0,35.0
35.0,35.0,35.0,304,274.39,202,309,288.18,260,317,284.36,271,1184,35.0,35.0,35.0
35.0,35.0,35.0,212,175.61,127,216,184.36,138,232,171.64,109,1185,35.0,35.0,35.0
35.0,35.0,35.0,198,177.33,154,227,193.91,159,208,172.64,122,1186,35.0,35.0,35.0
35.0,35.0,35.0,313,275.28,178,298,268.82,235,344,297.79,271,1187,35.0,35.0,35.0
35.0,35.0,35.0,325,309.94,270,300,269.82,226,290,242.29,185,1188,35.0,35.0,35.0
35.0,35.0,35.0,233,183.67,138,229,174.45,119,205,133.5,67,1189,35.0,35.0,35.0
35.0,35.0,35.0,115,83.83,56,84,59.27,42,146,91.29,58,1190,35.0,35.0,35.0
35.0,35.0,35.0,243,186.72,162,172,151.73,127,154,120.0,90,1191,35.0,35.0,35.0
35.0,35.0,35.0,256,241.28,213,304,280.64,260,302,273.57,253,1192,35.0,35.0,35.0
35.0,35.0,35.0,254,221.72,200,259,220.45,193,228,205.07,180,1193,35.0,35.0,35.0
35.0,35.0,35.0,250,233.56,194,263,244.36,220,275,226.71,122,1194,35.0,35.0,35.0
35.0,35.0,35.0,128,101.5,78,230,172.55,130,207,164.43,105,1195,35.0,35.0,35.0
35.0,35.0,35.0,343,340.33,338,345,336.82,325,345,329.36,265,1197,35.0,35.0,35.0
35.0,35.0,35.0,345,307.83,262,311,286.0,264,316,295.57,248,1198,35.0,35.0,35.0
25.0,23.17,19.0,55,30.5,19,41,31.27,23,54,40.14,27,1199,25.0,23.0,19.0
35.0,35.0,35.0,288,240.06,180,269,255.36,229,292,274.21,254,1200,35.0,35.0,35.0
35.0,35.0,35.0,88,76.56,58,133,107.91,90,155,115.29,66,1201,35.0,35.0,35.0
35.0,35.0,35.0,130,91.61,70,115,97.55,75,127,102.57,80,1202,35.0,35.0,35.0
35.0,35.0,35.0,235,206.22,176,192,169.27,122,211,181.64,155,1203,35.0,35.0,35.0
35.0,35.0,35.0,127,97.33,75,152,123.09,87,166,123.36,47,1204,35.0,35.0,35.0
35.0,35.0,35.0,261,235.5,201,248,222.45,192,279,238.5,194,1205,35.0,35.0,35.0
35.0,35.0,35.0,247,225.78,201,215,195.82,178,242,213.07,191,1206,35.0,35.0,35.0
35.0,35.0,35.0,127,111.0,98,117,91.0,74,222,172.79,127,1207,35.0,35.0,35.0
35.0,35.0,35.0,128,86.06,71,74,54.18,34,90,64.86,38,1208,35.0,35.0,35.0
35.0,35.0,35.0,145,118.44,95,173,127.09,98,228,166.57,120,1209,35.0,35.0,35.0
35.0,35.0,35.0,142,115.78,75,222,140.45,113,245,177.07,135,1210,35.0,35.0,35.0
35.0,35.0,35.0,341,318.0,294,318,252.09,218,312,247.43,203,1212,35.0,35.0,35.0
35.0,35.0,35.0,113,99.67,86,171,148.64,134,228,199.86,156,1213,35.0,35.0,35.0
35.0,35.0,35.0,305,268.0,245,318,294.27,262,323,288.0,237,1214,35.0,35.0,35.0
35.0,35.0,35.0,331,279.11,221,271,215.82,178,309,242.14,197,1216,35.0,35.0,35.0
35.0,35.0,35.0,178,153.72,102,238,180.0,138,201,162.71,117,1217,35.0,35.0,35.0
35.0,35.0,35.0,241,213.89,149,210,164.27,122,261,204.07,162,1218,35.0,35.0,35.0
35.0,35.0,35.0,259,203.39,162,275,251.91,237,319,268.64,244,1219,35.0,35.0,35.0
35.0,35.0,35.0,165,148.22,133,142,125.55,99,121,101.64,73,1220,35.0,35.0,35.0
35.0,35.0,35.0,297,276.28,242,317,294.64,275,338,300.71,264,1221,35.0,35.0,35.0
25.0,22.5,21.0,76,40.78,17,40,29.09,17,81,44.07,18,1222,23.0,21.0,19.0
35.0,35.0,35.0,328,301.39,269,340,329.18,306,345,327.86,283,1223,35.0,35.0,35.0
35.0,35.0,35.0,337,334.33,329,346,334.82,322,349,337.64,329,1224,35.0,35.0,35.0
35.0,35.0,35.0,169,140.44,124,180,138.36,112,202,156.43,109,1225,35.0,35.0,35.0
35.0,35.0,35.0,302,279.5,262,258,237.27,198,335,279.07,242,1226,35.0,35.0,35.0
35.0,35.0,35.0,268,224.22,194,313,234.73,196,326,270.86,221,1227,35.0,35.0,35.0
35.0,35.0,35.0,126,102.39,89,144,122.91,82,200,163.93,120,1228,35.0,35.0,35.0
35.0,35.0,35.0,184,162.56,132,150,127.18,111,108,82.79,65,1229,35.0,35.0,35.0
35.0,35.0,35.0,337,313.61,271,339,319.09,282,349,327.29,234,1230,35.0,35.0,35.0
35.0,35.0,35.0,98,82.06,62,121,80.45,66,180,121.07,101,1231,35.0,35.0,35.0
35.0,35.0,35.0,245,201.89,170,235,208.09,187,229,181.29,140,1232,35.0,35.0,35.0
35.0,35.0,35.0,114,94.61,61,160,136.91,113,137,115.64,106,1233,35.0,35.0,35.0
35.0,35.0,35.0,92,70.5,30,156,126.18,110,246,164.43,136,1234,35.0,35.0,35.0
35.0,35.0,35.0,96,72.72,22,98,79.82,68,144,89.79,23,1235,35.0,35.0,35.0
35.0,35.0,35.0,167,142.33,94,183,174.36,156,209,188.14,151,1236,35.0,35.0,35.0
35.0,35.0,35.0,298,273.22,235,315,290.27,244,330,303.29,268,1237,35.0,35.0,35.0
35.0,35.0,35.0,337,325.17,294,336,293.0,243,330,306.29,280,1238,35.0,35.0,35.0
35.0,35.0,35.0,336,316.56,274,336,301.82,287,343,300.43,271,1239,35.0,35.0,35.0
35.0,35.0,35.0,149,120.78,85,180,154.36,132,232,189.36,133,1240,35.0,35.0,35.0
35.0,35.0,35.0,265,238.39,221,331,308.18,287,347,304.57,272,1241,35.0,35.0,35.0
35.0,35.0,35.0,53,45.94,38,60,36.64,21,160,85.07,53,1243,35.0,35.0,35.0
35.0,35.0,35.0,329,313.72,296,328,311.91,299,314,293.29,250,1244,35.0,35.0,35.0
35.0,35.0,35.0,213,183.72,119,244,214.64,166,279,206.5,154,1245,35.0,35.0,35.0
35.0,35.0,35.0,156,131.5,107,197,182.73,144,202,155.14,64,1247,35.0,35.0,35.0
35.0,35.0,35.0,327,293.5,261,331,319.09,310,345,323.79,305,1248,35.0,35.0,35.0
35.0,35.0,35.0,206,180.83,142,247,219.09,171,279,215.86,92,1249,35.0,35.0,35.0
35.0,35.0,35.0,244,220.0,171,272,223.64,192,268,230.14,205,1250,35.0,35.0,35.0
35.0,35.0,35.0,155,127.78,105,229,188.64,106,265,238.07,190,1251,35.0,35.0,35.0
35.0,35.0,35.0,184,163.0,138,139,109.73,67,121,76.0,24,1252,35.0,35.0,35.0
35.0,35.0,35.0,274,248.94,218,232,210.45,182,202,165.71,102,1253,35.0,35.0,35.0
35.0,35.0,35.0,264,237.06,183,322,290.27,266,312,273.5,232,1254,35.0,35.0,35.0
35.0,35.0,35.0,346,341.94,331,345,333.27,319,351,340.79,330,1255,35.0,35.0,35.0
35.0,35.0,35.0,146,117.83,91,191,178.45,168,201,151.64,52,1256,35.0,35.0,35.0
35.0,35.0,35.0,276,251.39,230,300,268.36,246,285,254.0,193,1258,35.0,35.0,35.0
35.0,35.0,35.0,304,259.78,218,328,310.73,292,339,323.64,304,1259,35.0,35.0,35.0
35.0,35.0,35.0,116,75.28,50,125,65.27,45,132,68.93,22,1260,35.0,35.0,35.0
35.0,35.0,35.0,97,73.5,56,80,65.91,49,167,100.29,65,1261,35.0,35.0,35.0
35.0,35.0,35.0,311,279.67,244,313,291.09,277,324,302.86,287,1262,35.0,35.0,35.0
35.0,35.0,35.0,345,333.78,321,340,332.55,319,342,332.07,316,1263,35.0,35.0,35.0
35.0,35.0,35.0,219,210.56,199,247,233.91,216,281,232.93,213,1264,35.0,35.0,35.0
35.0,35.0,35.0,329,322.67,311,345,333.73,322,334,317.86,288,1265,35.0,35.0,35.0
35.0,35.0,35.0,58,46.72,35,59,46.27,38,99,60.71,36,1266,35.0,35.0,35.0
35.0,35.0,35.0,233,170.89,123,128,106.0,87,174,119.36,87,1267,35.0,35.0,35.0
35.0,35.0,35.0,41,33.22,21,58,47.55,33,78,62.0,47,1268,35.0,35.0,35.0
35.0,35.0,35.0,195,156.94,118,229,205.73,170,241,197.0,130,1269,35.0,35.0,35.0
35.0,35.0,35.0,335,310.78,294,298,277.18,257,343,308.14,290,1270,35.0,35.0,35.0
35.0,35.0,35.0,351,347.67,330,345,320.64,268,347,289.29,201,1271,35.0,35.0,35.0
35.0,35.0,35.0,212,173.39,158,113,96.45,77,169,128.0,94,1272,35.0,35.0,35.0
35.0,35.0,35.0,117,97.72,66,223,195.0,162,224,186.14,108,1273,35.0,35.0,35.0
35.0,35.0,35.0,292,230.56,191,213,185.64,149,162,128.64,107,1275,35.0,35.0,35.0
25.0,17.78,7.0,37,25.0,14,41,17.91,5,49,31.36,12,1276,25.0,17.56,7.0
35.0,35.0,35.0,104,85.28,46,142,117.36,100,194,125.0,82,1279,35.0,35.0,35.0
35.0,35.0,35.0,86,72.17,58,68,55.0,45,76,65.14,31,1280,35.0,35.0,35.0
35.0,35.0,35.0,60,46.5,39,65,50.82,42,46,28.21,2,1281,35.0,35.0,35.0
35.0,35.0,35.0,325,298.17,275,320,303.18,280,268,247.5,171,1282,35.0,35.0,35.0
35.0,35.0,35.0,118,92.22,62,170,124.36,61,136,101.14,60,1283,35.0,35.0,35.0
35.0,35.0,35.0,184,170.61,148,259,239.18,213,215,180.64,121,1284,35.0,35.0,35.0
35.0,35.0,35.0,193,141.22,105,153,98.64,74,203,126.29,76,1285,35.0,35.0,35.0
35.0,35.0,35.0,277,224.28,156,282,230.27,171,284,211.0,91,1286,35.0,35.0,35.0
35.0,35.0,35.0,312,291.56,270,319,294.73,249,293,269.07,225,1287,35.0,35.0,35.0
35.0,35.0,35.0,330,311.39,291,326,302.27,264,332,278.07,158,1288,35.0,35.0,35.0
35.0,35.0,35.0,351,349.33,346,351,342.55,331,351,338.07,303,1290,35.0,35.0,35.0
35.0,35.0,35.0,306,267.78,221,289,244.45,221,300,248.21,209,1291,35.0,35.0,35.0
24.0,24.0,24.0,77,54.0,41,47,37.0,26,37,26.93,12,1292,24.0,23.5,23.0
35.0,35.0,35.0,160,94.44,61,103,81.45,61,138,96.29,48,1293,35.0,35.0,35.0
35.0,35.0,35.0,240,175.44,129,165,146.82,110,145,122.14,108,1294,35.0,35.0,35.0
35.0,35.0,35.0,198,155.83,125,221,181.64,122,218,160.29,94,1295,35.0,35.0,35.0
35.0,35.0,35.0,264,251.39,233,263,240.09,209,249,231.57,204,1296,35.0,35.0,35.0
35.0,35.0,35.0,197,89.39,55,134,110.27,98,173,127.21,102,1297,35.0,35.0,35.0
35.0,35.0,35.0,211,181.33,141,202,180.82,147,235,195.57,136,1298,35.0,35.0,35.0
35.0,35.0,35.0,344,306.61,287,248,225.0,203,248,200.86,138,1299,35.0,35.0,35.0
35.0,35.0,35.0,280,219.06,141,302,281.82,259,323,308.71,279,1300,35.0,35.0,35.0
35.0,35.0,35.0,63,53.06,44,94,47.09,26,148,84.36,47,1301,35.0,35.0,35.0
35.0,35.0,35.0,269,247.44,220,307,277.36,257,289,251.57,221,1303,35.0,35.0,35.0
35.0,35.0,35.0,105,82.11,61,78,46.45,31,91,65.71,54,1304,35.0,35.0,35.0
24.0,22.12,20.0,54,26.61,18,42,32.36,24,22,15.71,9,1305,25.0,23.0,21.0
35.0,35.0,35.0,241,212.83,188,327,298.73,278,349,318.21,291,1306,35.0,35.0,35.0
35.0,35.0,35.0,155,122.11,106,252,179.82,130,218,178.07,118,1307,35.0,35.0,35.0
35.0,35.0,35.0,114,83.17,58,51,36.09,23,104,51.36,31,1308,35.0,35.0,35.0
35.0,35.0,35.0,316,277.94,250,231,205.91,188,259,224.29,179,1309,35.0,35.0,35.0
35.0,35.0,35.0,258,229.33,201,214,168.82,141,215,178.0,158,1310,35.0,35.0,35.0
35.0,35.0,35.0,312,227.22,167,223,177.27,139,216,178.14,135,1311,35.0,35.0,35.0
35.0,35.0,35.0,303,250.06,222,269,254.45,219,278,251.5,177,1312,35.0,35.0,35.0
35.0,35.0,35.0,341,323.28,307,344,329.55,313,329,287.21,264,1313,35.0,35.0,35.0
35.0,35.0,35.0,316,286.0,265,287,260.09,248,278,237.29,213,1315,35.0,35.0,35.0
35.0,35.0,35.0,328,315.61,304,267,241.91,232,226,205.86,172,1316,35.0,35.0,35.0
35.0,35.0,35.0,295,230.78,201,214,188.0,151,257,201.57,143,1317,35.0,35.0,35.0
35.0,35.0,35.0,137,110.0,94,122,103.91,84,137,91.0,54,1318,35.0,35.0,35.0
35.0,35.0,35.0,343,338.22,325,346,338.18,331,317,295.07,265,1319,35.0,35.0,35.0
35.0,35.0,35.0,155,122.28,76,172,140.18,69,167,112.71,16,1320,35.0,35.0,35.0
35.0,35.0,35.0,348,338.83,302,348,338.18,324,348,317.14,205,1322,35.0,35.0,35.0
35.0,35.0,35.0,156,122.5,85,178,148.73,115,185,143.43,86,1324,35.0,35.0,35.0
35.0,35.0,35.0,217,181.28,145,250,214.91,163,235,215.93,184,1325,35.0,35.0,35.0
22.0,15.22,8.0,91,35.67,14,49,17.45,10,60,28.86,14,1326,22.0,15.56,9.0
23.0,12.56,4.0,48,34.44,22,40,17.55,3,49,20.21,2,1328,24.0,14.2,6.0
35.0,35.0,35.0,79,62.28,54,62,55.55,45,168,96.64,77,1329,35.0,35.0,35.0
35.0,35.0,35.0,144,79.11,52,89,75.09,69,102,82.57,53,1330,35.0,35.0,35.0
35.0,35.0,35.0,324,288.44,264,262,248.27,221,255,212.64,158,1331,35.0,35.0,35.0
35.0,35.0,35.0,80,61.5,24,112,88.82,74,163,93.29,70,1332,35.0,35.0,35.0
35.0,35.0,35.0,191,147.5,109,191,164.27,148,220,172.0,137,1333,35.0,35.0,35.0
35.0,35.0,35.0,232,199.39,182,247,196.45,174,249,180.29,134,1334,35.0,35.0,35.0
35.0,35.0,35.0,125,115.0,100,145,114.91,96,185,143.0,101,1335,35.0,35.0,35.0
35.0,35.0,35.0,63,40.94,25,109,77.55,57,135,104.14,76,1336,35.0,35.0,35.0
35.0,35.0,35.0,324,301.61,278,340,329.27,291,331,314.43,289,1337,35.0,35.0,35.0
35.0,35.0,35.0,255,237.39,214,202,187.73,158,217,176.21,141,1338,35.0,35.0,35.0
35.0,35.0,35.0,326,289.94,268,311,278.73,247,286,247.64,217,1339,35.0,35.0,35.0
35.0,35.0,35.0,213,129.0,95,172,135.64,94,170,116.86,48,1340,35.0,35.0,35.0
35.0,35.0,35.0,313,269.61,256,285,262.18,240,268,222.29,117,1341,35.0,35.0,35.0
35.0,35.0,35.0,346,331.94,318,309,292.27,253,319,294.29,259,1342,35.0,35.0,35.0
35.0,35.0,35.0,178,134.5,87,211,174.45,134,260,187.14,130,1343,35.0,35.0,35.0
35.0,35.0,35.0,76,58.28,20,79,54.18,35,63,42.57,27,1344,35.0,35.0,35.0
35.0,35.0,35.0,333,309.17,284,305,290.18,269,342,306.79,277,1346,35.0,35.0,35.0
35.0,35.0,35.0,255,197.67,162,171,140.91,116,160,125.14,81,1347,35.0,35.0,35.0
25.0,20.62,16.0,50,36.56,24,35,23.36,15,23,14.14,5,1348,24.0,19.62,14.0
35.0,35.0,35.0,330,321.56,297,339,335.91,331,332,319.5,270,1349,35.0,35.0,35.0
35.0,35.0,35.0,255,203.0,134,278,220.91,185,262,211.93,165,1350,35.0,35.0,35.0
35.0,35.0,35.0,279,176.5,128,139,105.0,85,175,93.0,62,1351,35.0,35.0,35.0
35.0,35.0,35.0,301,227.44,187,241,201.27,154,207,169.14,134,1352,35.0,35.0,35.0
35.0,35.0,35.0,146,116.61,90,169,150.27,129,211,187.5,122,1353,35.0,35.0,35.0
35.0,35.0,35.0,349,344.89,342,335,312.82,287,339,320.21,294,1354,35.0,35.0,35.0
35.0,35.0,35.0,143,109.56,86,83,63.82,52,94,64.43,37,1355,35.0,35.0,35.0
35.0,35.0,35.0,162,147.78,110,162,130.64,99,237,128.5,79,1356,35.0,35.0,35.0
35.0,35.0,35.0,322,307.06,292,335,320.36,286,332,313.29,274,1357,35.0,35.0,35.0
35.0,35.0,35.0,271,230.72,214,264,208.27,182,266,230.21,201,1358,35.0,35.0,35.0
35.0,35.0,35.0,278,242.72,151,298,286.45,263,299,281.43,251,1359,35.0,35.0,35.0
35.0,35.0,35.0,284,173.0,133,144,118.91,80,163,128.79,91,1360,35.0,35.0,35.0
35.0,35.0,35.0,105,68.17,51,121,100.82,70,130,90.64,54,1361,35.0,35.0,35.0
35.0,35.0,35.0,184,163.33,126,217,178.45,154,208,161.0,131,1362,35.0,35.0,35.0
35.0,35.0,35.0,322,311.22,293,335,329.27,324,342,309.57,295,1363,35.0,35.0,35.0
35.0,35.0,35.0,244,168.28,137,119,95.18,63,127,80.86,36,1364,35.0,35.0,35.0
35.0,35.0,35.0,297,236.33,81,334,293.09,265,348,293.07,244,1365,35.0,35.0,35.0
35.0,35.0,35.0,330,314.56,290,272,225.45,189,222,193.36,151,1366,35.0,35.0,35.0
35.0,35.0,35.0,339,321.89,268,343,333.36,314,346,335.43,313,1367,35.0,35.0,35.0
35.0,35.0,35.0,256,226.94,204,186,164.64,147,243,189.57,150,1368,35.0,35.0,35.0
35.0,35.0,35.0,322,288.5,272,276,259.55,239,267,247.29,224,1369,35.0,35.0,35.0
35.0,35.0,35.0,220,205.17,182,216,180.64,154,245,196.57,156,1370,35.0,35.0,35.0
35.0,35.0,35.0,174,143.83,108,99,81.91,64,156,115.0,61,1372,35.0,35.0,35.0
