TeamID,TeamName,num_of_sweet_16,num_of_elite_8,num_of_final_4,num_of_top_2,num_of_title
1187,East Carolina,0.0,0.0,0.0,0.0,0.0
1188,Edwardsville,,,,,
1189,Elon,,,,,
1190,ETSU,,,,,
1191,Evansville,0.0,0.0,0.0,0.0,0.0
1192,F Dickinson,,,,,
1193,Fairfield,0.0,0.0,0.0,0.0,0.0
1194,FL Atlantic,,,,,
1195,FL Gulf Coast,,,,,
1196,Florida,10.0,9.0,5.0,3.0,2.0
1197,Florida A&M,0.0,0.0,0.0,0.0,0.0
1198,Florida Intl,,,,,
1199,Florida St,,,,,
1200,Fordham,1.0,0.0,0.0,0.0,0.0
1201,Fresno St,,,,,
1202,Furman,1.0,0.0,0.0,0.0,0.0
1203,G Washington,,,,,
1204,Ga Southern,,,,,
1205,Gardner Webb,,,,,
1206,George Mason,1.0,1.0,1.0,0.0,0.0
1207,Georgetown,11.0,9.0,5.0,4.0,1.0
1208,Georgia,2.0,1.0,1.0,0.0,0.0
1209,Georgia St,,,,,
1210,Georgia Tech,7.0,4.0,2.0,1.0,0.0
1211,Gonzaga,8.0,3.0,1.0,1.0,0.0
1212,Grambling,,,,,
1213,Grand Canyon,,,,,
1214,Hampton,0.0,0.0,0.0,0.0,0.0
1215,Hardin-Simmons,0.0,0.0,0.0,0.0,0.0
1216,Hartford,,,,,
1217,Harvard,0.0,1.0,0.0,0.0,0.0
1218,Hawaii,,,,,
1219,High Point,,,,,
1220,Hofstra,0.0,0.0,0.0,0.0,0.0
1221,Holy Cross,1.0,4.0,2.0,1.0,1.0
1222,Houston,10.0,5.0,5.0,2.0,0.0
1223,Houston Bap,,,,,
1224,Howard,0.0,0.0,0.0,0.0,0.0
1225,Idaho,1.0,0.0,0.0,0.0,0.0
1226,Idaho St,,,,,
1227,IL Chicago,,,,,
1228,Illinois,11.0,9.0,5.0,1.0,0.0
1229,Illinois St,,,,,
1230,Incarnate Word,,,,,
1231,Indiana,22.0,11.0,8.0,6.0,5.0
1232,Indiana St,,,,,
1233,Iona,0.0,0.0,0.0,0.0,0.0
1234,Iowa,8.0,4.0,3.0,1.0,0.0
1235,Iowa St,,,,,
1236,IPFW,,,,,
1237,IUPUI,0.0,0.0,0.0,0.0,0.0
1238,Jackson St,,,,,
1239,Jacksonville,1.0,1.0,1.0,1.0,0.0
1240,Jacksonville St,,,,,
1241,James Madison,0.0,0.0,0.0,0.0,0.0
1242,Kansas,30.0,23.0,14.0,9.0,3.0
1243,Kansas St,,,,,
1244,Kennesaw,,,,,
1245,Kent,,,,,
1246,Kentucky,42.0,37.0,17.0,12.0,8.0
1247,La Salle,3.0,2.0,2.0,2.0,1.0
1248,Lafayette,1.0,0.0,0.0,0.0,0.0
1249,Lamar,1.0,0.0,0.0,0.0,0.0
1250,Lehigh,0.0,0.0,0.0,0.0,0.0
1251,Liberty,0.0,0.0,0.0,0.0,0.0
1252,Lipscomb,,,,,
1253,Long Beach St,,,,,
1254,Long Island,,,,,
1255,Longwood,,,,,
1256,Louisiana Tech,1.0,0.0,0.0,0.0,0.0
1257,Louisville,24.0,11.0,8.0,2.0,2.0
1258,Loy Marymount,,,,,
1259,Loyola MD,,,,,
1260,Loyola-Chicago,3.0,1.0,1.0,1.0,1.0
1261,LSU,9.0,6.0,4.0,0.0,0.0
1262,MA Lowell,,,,,
1263,Maine,,,,,
1264,Manhattan,1.0,0.0,0.0,0.0,0.0
1265,Marist,0.0,0.0,0.0,0.0,0.0
1266,Marquette,16.0,7.0,3.0,2.0,1.0
1267,Marshall,0.0,0.0,0.0,0.0,0.0
1268,Maryland,14.0,4.0,2.0,1.0,1.0
1269,Massachusetts,2.0,1.0,0.0,0.0,0.0
1270,McNeese St,,,,,
1271,MD E Shore,,,,,
1272,Memphis,6.0,4.0,1.0,1.0,0.0
1273,Mercer,0.0,0.0,0.0,0.0,0.0
1274,Miami FL,,,,,
1275,Miami OH,,,,,
1276,Michigan,13.0,12.0,5.0,4.0,1.0
1277,Michigan St,,,,,
1278,Minnesota,3.0,1.0,0.0,0.0,0.0
1279,Mississippi,1.0,0.0,0.0,0.0,0.0
1280,Mississippi St,,,,,
1281,Missouri,6.0,4.0,0.0,0.0,0.0
1282,Missouri KC,,,,,
1283,Missouri St,,,,,
1284,Monmouth NJ,,,,,
1285,Montana,1.0,0.0,0.0,0.0,0.0
1286,Montana St,,,,,
1287,Morehead St,,,,,
1288,Morgan St,,,,,
1289,Morris Brown,,,,,
1290,MS Valley St,,,,,
1291,Mt St Mary's,,,,,
1292,MTSU,,,,,
1293,Murray St,,,,,
1294,N Colorado,,,,,
1295,N Dakota St,,,,,
1296,N Illinois,,,,,
1297,N Kentucky,,,,,
1298,Navy,3.0,2.0,0.0,0.0,0.0
1299,NC A&T,,,,,
1300,NC Central,,,,,
1301,NC State,,,,,
1302,NE Illinois,,,,,
1303,NE Omaha,,,,,
1304,Nebraska,0.0,0.0,0.0,0.0,0.0
1305,Nevada,1.0,0.0,0.0,0.0,0.0
1306,New Hampshire,,,,,
1307,New Mexico,2.0,0.0,0.0,0.0,0.0
1308,New Mexico St,,,,,
1309,New Orleans,0.0,0.0,0.0,0.0,0.0
1310,Niagara,1.0,0.0,0.0,0.0,0.0
1311,Nicholls St,,,,,
1312,NJIT,,,,,
1313,Norfolk St,,,,,
1314,North Carolina,33.0,28.0,20.0,11.0,6.0
1315,North Dakota,0.0,0.0,0.0,0.0,0.0
1316,North Florida,0.0,0.0,0.0,0.0,0.0
1317,North Texas,0.0,0.0,0.0,0.0,0.0
1318,Northeastern,0.0,0.0,0.0,0.0,0.0
1319,Northern Arizona,0.0,0.0,0.0,0.0,0.0
1320,Northern Iowa,1.0,0.0,0.0,0.0,0.0
1321,Northwestern,0.0,0.0,0.0,0.0,0.0
1322,Northwestern LA,,,,,
1323,Notre Dame,17.0,7.0,1.0,0.0,0.0
1324,Oakland,0.0,0.0,0.0,0.0,0.0
1325,Ohio,3.0,1.0,0.0,0.0,0.0
1326,Ohio St,,,,,
1327,Okla City,,,,,
1328,Oklahoma,10.0,9.0,5.0,2.0,0.0
1329,Oklahoma St,,,,,
1330,Old Dominion,0.0,0.0,0.0,0.0,0.0
1331,Oral Roberts,1.0,1.0,0.0,0.0,0.0
1332,Oregon,6.0,7.0,2.0,1.0,1.0
1333,Oregon St,,,,,
1334,Pacific,3.0,1.0,0.0,0.0,0.0
1335,Penn,,,,,
1336,Penn St,,,,,
1337,Pepperdine,2.0,0.0,0.0,0.0,0.0
1338,Pittsburgh,7.0,3.0,1.0,0.0,0.0
1339,Portland,0.0,0.0,0.0,0.0,0.0
1340,Portland St,,,,,
1341,Prairie View,,,,,
1342,Presbyterian,,,,,
1343,Princeton,6.0,1.0,1.0,0.0,0.0
1344,Providence,5.0,4.0,2.0,0.0,0.0
1345,Purdue,10.0,4.0,2.0,1.0,0.0
1346,Quinnipiac,,,,,
1347,Radford,0.0,0.0,0.0,0.0,0.0
1348,Rhode Island,2.0,1.0,0.0,0.0,0.0
1349,Rice,1.0,2.0,0.0,0.0,0.0
1350,Richmond,2.0,0.0,0.0,0.0,0.0
1351,Rider,0.0,0.0,0.0,0.0,0.0
1352,Robert Morris,0.0,0.0,0.0,0.0,0.0
1353,Rutgers,2.0,1.0,1.0,0.0,0.0
1354,S Carolina St,,,,,
1355,S Dakota St,,,,,
1356,S Illinois,,,,,
1357,Sacred Heart,,,,,
1358,Sam Houston St,,,,,
1359,Samford,0.0,0.0,0.0,0.0,0.0
1360,San Diego,0.0,0.0,0.0,0.0,0.0
1361,San Diego St,,,,,
1362,San Francisco,12.0,7.0,3.0,2.0,2.0
1363,San Jose St,,,,,
1364,Santa Barbara,,,,,
1365,Santa Clara,7.0,5.0,1.0,0.0,0.0
1366,Savannah St,,,,,
1367,SC Upstate,,,,,
1368,SE Louisiana,,,,,
1369,SE Missouri St,,,,,
1370,Seattle,5.0,1.0,1.0,1.0,0.0
1371,Seton Hall,4.0,2.0,1.0,1.0,0.0
1372,SF Austin,,,,,
1373,Siena,0.0,0.0,0.0,0.0,0.0
1374,SMU,6.0,2.0,1.0,0.0,0.0
1375,South Alabama,0.0,0.0,0.0,0.0,0.0
1376,South Carolina,4.0,1.0,1.0,0.0,0.0
1377,South Dakota,,,,,
1378,South Florida,0.0,0.0,0.0,0.0,0.0
1379,Southern Miss,0.0,0.0,0.0,0.0,0.0
1380,Southern Univ,,,,,
1381,Southern Utah,0.0,0.0,0.0,0.0,0.0
1382,St Bonaventure,,,,,
1383,St Francis NY,,,,,
1384,St Francis PA,,,,,
1385,St John's,,,,,
1386,St Joseph's PA,,,,,
1387,St Louis,,,,,
1388,St Mary's CA,,,,,
1389,St Peter's,,,,,
1390,Stanford,5.0,3.0,2.0,1.0,1.0
1391,Stetson,,,,,
1392,Stony Brook,0.0,0.0,0.0,0.0,0.0
1393,Syracuse,22.0,10.0,6.0,3.0,1.0
1394,TAM C. Christi,,,,,
1395,TCU,4.0,1.0,0.0,0.0,0.0
1396,Temple,7.0,8.0,2.0,0.0,0.0
1397,Tennessee,7.0,1.0,0.0,0.0,0.0
1398,Tennessee St,,,,,
1399,Tennessee Tech,0.0,0.0,0.0,0.0,0.0
1400,Texas,10.0,7.0,3.0,0.0,0.0
1401,Texas A&M,4.0,0.0,0.0,0.0,0.0
1402,Texas St,,,,,
1403,Texas Tech,3.0,0.0,0.0,0.0,0.0
1404,TN Martin,,,,,
1405,Toledo,1.0,0.0,0.0,0.0,0.0
1406,Towson,0.0,0.0,0.0,0.0,0.0
1407,Troy,0.0,0.0,0.0,0.0,0.0
1408,Tulane,0.0,0.0,0.0,0.0,0.0
1409,Tulsa,4.0,1.0,0.0,0.0,0.0
1410,UTRGV,,,,,
1411,TX Southern,,,,,
1412,UAB,3.0,1.0,0.0,0.0,0.0
1413,UC Davis,0.0,0.0,0.0,0.0,0.0
1414,UC Irvine,0.0,0.0,0.0,0.0,0.0
1415,UC Riverside,,,,,
1416,UCF,,,,,
1417,UCLA,33.0,21.0,17.0,12.0,11.0
1418,ULL,,,,,
1419,ULM,,,,,
1420,UMBC,0.0,0.0,0.0,0.0,0.0
1421,UNC Asheville,0.0,0.0,0.0,0.0,0.0
1422,UNC Greensboro,0.0,0.0,0.0,0.0,0.0
1423,UNC Wilmington,0.0,0.0,0.0,0.0,0.0
1424,UNLV,10.0,5.0,4.0,1.0,1.0
1425,USC,,,,,
1426,UT Arlington,,,,,
1427,UT San Antonio,,,,,
1428,Utah,16.0,6.0,4.0,2.0,1.0
1429,Utah St,,,,,
1430,Utah Valley,,,,,
1431,UTEP,4.0,1.0,1.0,1.0,1.0
1432,Utica,,,,,
1433,VA Commonwealth,,,,,
1434,Valparaiso,1.0,0.0,0.0,0.0,0.0
1435,Vanderbilt,6.0,1.0,0.0,0.0,0.0
1436,Vermont,0.0,0.0,0.0,0.0,0.0
1437,Villanova,16.0,12.0,4.0,2.0,2.0
1438,Virginia,9.0,6.0,2.0,0.0,0.0
1439,Virginia Tech,1.0,1.0,0.0,0.0,0.0
1440,VMI,2.0,1.0,0.0,0.0,0.0
1441,W Carolina,,,,,
1442,W Illinois,,,,,
1443,WKU,,,,,
1444,W Michigan,,,,,
1445,W Salem St,,,,,
1446,W Texas A&M,,,,,
1447,Wagner,0.0,0.0,0.0,0.0,0.0
1448,Wake Forest,9.0,6.0,1.0,0.0,0.0
1449,Washington,7.0,3.0,1.0,0.0,0.0
1450,Washington St,,,,,
1451,Weber St,,,,,
1452,West Virginia,10.0,3.0,2.0,1.0,0.0
1453,WI Green Bay,,,,,
1454,WI Milwaukee,,,,,
1455,Wichita St,,,,,
1456,William & Mary,,,,,
1457,Winthrop,0.0,0.0,0.0,0.0,0.0
1458,Wisconsin,10.0,6.0,4.0,2.0,1.0
1459,Wofford,0.0,0.0,0.0,0.0,0.0
1460,Wright St,,,,,
1461,Wyoming,4.0,5.0,1.0,1.0,1.0
1462,Xavier,8.0,3.0,0.0,0.0,0.0
1463,Yale,0.0,1.0,0.0,0.0,0.0
1464,Youngstown St,,,,,
